Timecode List:,00:00:32.000,00:01:12.640,00:01:21.320,00:01:39.240,00:01:48.040,00:02:42.240,00:02:50.320,00:02:59.920,00:03:02.800,00:03:08.000,00:03:34.200,00:03:44.600,00:03:49.920,00:04:51.440,00:04:56.040
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,525,00:00:21.000,21.000,800,00:00:32.000,32.000,275,00:00:11.000,11.000
2,800,00:00:32.000,32.000,1816,00:01:12.640,72.640,1016,00:00:40.640,40.640
3,1816,00:01:12.640,72.640,2033,00:01:21.320,81.320,217,00:00:08.680,8.680
4,2033,00:01:21.320,81.320,2481,00:01:39.240,99.240,448,00:00:17.920,17.920
5,2481,00:01:39.240,99.240,2701,00:01:48.040,108.040,220,00:00:08.800,8.800
6,2701,00:01:48.040,108.040,4056,00:02:42.240,162.240,1355,00:00:54.200,54.200
7,4056,00:02:42.240,162.240,4258,00:02:50.320,170.320,202,00:00:08.080,8.080
8,4258,00:02:50.320,170.320,4498,00:02:59.920,179.920,240,00:00:09.600,9.600
9,4498,00:02:59.920,179.920,4570,00:03:02.800,182.800,72,00:00:02.880,2.880
10,4570,00:03:02.800,182.800,4700,00:03:08.000,188.000,130,00:00:05.200,5.200
11,4700,00:03:08.000,188.000,5355,00:03:34.200,214.200,655,00:00:26.200,26.200
12,5355,00:03:34.200,214.200,5615,00:03:44.600,224.600,260,00:00:10.400,10.400
13,5615,00:03:44.600,224.600,5748,00:03:49.920,229.920,133,00:00:05.320,5.320
14,5748,00:03:49.920,229.920,7286,00:04:51.440,291.440,1538,00:01:01.520,61.520
15,7286,00:04:51.440,291.440,7401,00:04:56.040,296.040,115,00:00:04.600,4.600
16,7401,00:04:56.040,296.040,7452,00:04:58.080,298.080,51,00:00:02.040,2.040
